CaseId,CaseName,SchemeId,ScriptDllName,PARA_FILE_NAME,CATALOGUE
64,抄表-曲线抄读,1,SgHplcTestScript.dll::Script_ReadMeter_Curve,Script_ReadMeter_Curve,抄表-F1F1
66,抄表-终端并发抄表-表地址不一致,1,SgHplcTestScript.dll::Script_ReadMeter_F1F1_MeterAddrInconsistent,Script_ReadMeter_F1F1_MeterAddrInconsistent,抄表-F1F1
67,抄表-终端并发抄表-多条OOP,1,SgHplcTestScript.dll::Script_ReadMeter_F1F1_MultipleFrames,Script_ReadMeter_F1F1_MultipleFrames,抄表-F1F1
68,抄表-终端并发抄表-多条报文中掺杂错误报文,1,SgHplcTestScript.dll::Script_ReadMeter_F1F1_MultipleFramesMixedWithError,Script_ReadMeter_F1F1_MultipleFramesMixedWithError,抄表-F1F1
69,抄表-终端并发抄表-运行状态查询,1,SgHplcTestScript.dll::Script_ReadMeter_F1F1_QueryRunState,Script_ReadMeter_F1F1_QueryRunState,抄表-F1F1
70,透明传输,1,SgHplcTestScript.dll::Script_TransparentTrans,Script_TransparentTrans,透明传输
71,透传功能-透传抄读,1,SgHplcTestScript.dll::Script_TransparentTrans,Script_TransparentTrans,透明传输
73,透传功能-连续重复透传抄读,1,SgHplcTestScript.dll::Script_TransparentTrans_RepeatRead,Script_TransparentTrans_RepeatRead,透明传输
74,透传功能--全9地址透传,2,SgHplcTestScript.dll::Script_TransparentTrans_All99Addr,Script_TransparentTrans_All99Addr,透明传输
75,频段管理-频段0-0,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq0To0,Script_FreqManage_SetFreq0To0,频段管理
76,频段管理-频段0-1,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq0To1,Script_FreqManage_SetFreq0To1,频段管理
77,频段管理-频段0-2,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq0To2,Script_FreqManage_SetFreq0To2,频段管理
78,频段管理-频段0-3,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq0To3,Script_FreqManage_SetFreq0To3,频段管理
79,频段管理-频段1-0,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq1To0,Script_FreqManage_SetFreq1To0,频段管理
80,频段管理-频段1-1,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq1To1,Script_FreqManage_SetFreq1To1,频段管理
81,频段管理-频段1-2,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq1To2,Script_FreqManage_SetFreq1To2,频段管理
82,频段管理-频段1-3,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq1To3,Script_FreqManage_SetFreq1To3,频段管理
83,频段管理-频段2-0,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq2To0,Script_FreqManage_SetFreq2To0,频段管理
84,频段管理-频段2-1,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq2To1,Script_FreqManage_SetFreq2To1,频段管理
85,频段管理-频段2-2,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq2To2,Script_FreqManage_SetFreq2To2,频段管理
86,频段管理-频段2-3,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq2To3,Script_FreqManage_SetFreq2To3,频段管理
87,频段管理-频段3-0,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq3To0,Script_FreqManage_SetFreq3To0,频段管理
88,频段管理-频段3-1,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq3To1,Script_FreqManage_SetFreq3To1,频段管理
89,频段管理-频段3-2,1,SgHplcTestScript.dll::Script_FreqManage_SetFreq3To2,Script_FreqManage_SetFreq3To2,频段管理
